LavatoryID,Description,City,Street,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,FID
Wall_120210,"Wall CT, Dürerplatz",Berlin,Dürerplatz 5 (0-24 Uhr),12157,Deutschland,13.34150163,52.46954341,1,1,0.5,1,1,1,0,1,0,110
Wall_120211,"Wall CT, Priesterweg",Berlin,Priesterweg S-Bahnhof (0-24 Uhr),12157,Deutschland,13.355711,52.459251,1,1,0.5,1,1,1,0,1,0,127
Wall_120212,"Wall CT, Marienfelder Allee",Berlin,Marienfelder Allee 144-146 (0-24 Uhr),12277,Deutschland,13.36315439,52.41349844,1,1,0.5,1,1,1,0,1,0,128
Wall_120213,"Wall CT, Friedrichstr.",Berlin,Friedrichstr. ggü. 10-11 (0-24 Uhr),10969,Deutschland,13.391234,52.501269,1,1,0.5,1,1,1,0,1,0,91
Wall_120214,"Wall CT, Im Domstift",Berlin,Im Domstift   (0-24 Uhr),12309,Deutschland,13.41016173,52.38777878,1,1,0.5,1,1,1,0,1,0,139
Wall_120215,"Wall CT, Nöldnerplatz, Archibaldweg",Berlin,"Nöldnerplatz, Archibaldweg   (0-24 Uhr)",10317,Deutschland,13.48398,52.50302,1,1,0.5,1,1,1,1,1,0,93
Wall_120216,"Wall CT, Marzahner Promenade (Fußgängerzone)",Berlin,Marzahner Promenade (Fußgängerzone) 30-33 (0-24 Uhr),12679,Deutschland,13.549245,52.544367,1,1,0.5,1,1,1,1,1,0,69
Wall_120222,"Wall CT, Waldstr.",Berlin,Waldstr. 1 (0-24 Uhr),10551,Deutschland,13.33060649,52.52741489,1,1,0.5,1,1,1,0,1,0,39
Wall_120223,"Wall CT, Hugenottenplatz, Schweizer Tal",Berlin,"Hugenottenplatz, Schweizer Tal ggü. 48 (0-24 Uhr)",13127,Deutschland,13.42056481,52.60714453,1,1,0.5,1,1,1,0,1,0,137
Wall_120224,"Wall CT, Hohenzollerndamm",Berlin,Hohenzollerndamm   (0-24 Uhr),14199,Deutschland,13.28197635,52.47694105,1,1,0.5,1,1,1,0,1,0,6
Wall_120225,"Wall CT, Wilhelminenhofstr.",Berlin,Wilhelminenhofstr. 54 (0-24 Uhr),12459,Deutschland,13.52667175,52.45859286,1,1,0.5,1,1,1,0,1,0,167
Wall_120226,"Wall CT, Bundesallee, Friedrich-Wilhelm-Platz",Berlin,"Bundesallee, Friedrich-Wilhelm-Platz 4 (0-24 Uhr)",12161,Deutschland,13.32793177,52.47256281,1,1,0.5,1,1,1,0,1,0,36
Wall_120227,"Wall CT, Achillesstr.",Berlin,Achillesstr. ggü. 59 (0-24 Uhr),13125,Deutschland,13.48851,52.617635,1,1,0.5,1,1,1,0,1,0,149
Wall_120228,"Wall CT, S-Bhf. Wilhelmshagen, Schönblicker Str.",Berlin,"S-Bhf. Wilhelmshagen, Schönblicker Str.   (0-24 Uhr)",12589,Deutschland,13.72100464,52.43908174,1,1,0.5,1,1,1,0,1,0,169
Wall_120229,"Wall CT, Badensche Str.",Berlin,Badensche Str. 29 (0-24 Uhr),10715,Deutschland,13.32748453,52.48647695,1,1,0.5,1,1,1,0,1,0,107
Wall_120230,"Wall CT, Eberbacher Str.",Berlin,Eberbacher Str. 24 (0-24 Uhr),14197,Deutschland,13.30926853,52.47332458,1,1,0.5,1,1,1,1,1,0,104
Wall_120403,"Wall CT, Weitlingstr.",Berlin,Weitlingstr. 2 (0-24 Uhr),10317,Deutschland,13.4993597,52.51063188,1,1,0.5,1,1,1,1,1,0,30
Wall_120407,"Wall CT, Seddiner Str.",Berlin,Seddiner Str. 22 (0-24 Uhr),10315,Deutschland,13.52083415,52.51350191,1,1,0.5,1,1,1,1,1,0,734
Wall_120443,Toilette Grünberger Str.,Berlin,"Boxhagener Platz, Gärtnerstr. ggü. 12-13 (0-24 Uhr)",10245,Deutschland,13.46065563,52.51069716,1,1,0,0,0,0,0,5,0,184
Wall_120446,"Wall CT, Breitenbachplatz",Berlin,Breitenbachplatz 8 (0-24 Uhr),14195,Deutschland,13.30866482,52.46723679,1,1,0.5,1,1,1,0,1,0,79
Wall_120447,"Wall CT, Griechische Allee",Berlin,Griechische Allee 2 (0-24 Uhr),12459,Deutschland,13.51389091,52.46463708,1,1,0.5,1,1,1,0,1,0,152
Wall_120448,"Wall CT, Hempelsteig",Berlin,Hempelsteig hinter 1A (0-24 Uhr),14052,Deutschland,13.240857,52.525505,1,1,0.5,1,1,1,0,1,0,172
Wall_120449,"Wall CT, Goerzallee",Berlin,Goerzallee 1-3 (0-24 Uhr),12207,Deutschland,13.30931569,52.43090189,1,1,0.5,1,1,1,0,1,0,166
Wall_120450,"Wall CT, Munsterdamm",Berlin,Munsterdamm   (0-24 Uhr),12169,Deutschland,13.34910572,52.45855306,1,1,0.5,1,1,1,0,1,0,164
Wall_120451,"Wall CT, Ostpreußendamm",Berlin,Ostpreußendamm 83 (0-24 Uhr),12207,Deutschland,13.30486876,52.41756857,1,1,0.5,1,1,1,0,1,0,177
Wall_120461,"Wall CT, Zingster Str.",Berlin,Zingster Str. 37 (0-24 Uhr),13059,Deutschland,13.49694955,52.56987392,1,1,0.5,1,1,1,1,1,0,809
Wall_120462,"Wall CT, Am Heidefriedhof, Reißeckstr.",Berlin,"Am Heidefriedhof, Reißeckstr. 14 (0-24 Uhr)",12107,Deutschland,13.39209928,52.43975231,1,1,0.5,1,1,1,0,1,0,717
Wall_120493,"Wall CT, Steglitzer Damm",Berlin,Steglitzer Damm vor 39/39a (0-24 Uhr),12169,Deutschland,13.34281826,52.45068359,1,1,0.5,1,1,1,0,1,0,146
Wall_120494,"Wall CT, Schloßstr.",Berlin,Schloßstr. ggü. 33-35 (0-24 Uhr),12163,Deutschland,13.32143252,52.45726951,1,1,0.5,1,1,1,0,1,0,9
Wall_120495,"Wall CT, S-Bhf. Wartenberg , Egon-Erwin-Kisch-Str.",Berlin,"S-Bhf. Wartenberg , Egon-Erwin-Kisch-Str. 28 (0-24 Uhr)",13059,Deutschland,13.50467113,52.5733301,1,1,0.5,1,1,1,1,1,0,97
Wall_120496,"Wall CT, Landsberger Allee",Berlin,Landsberger Allee   (0-24 Uhr),10369,Deutschland,13.47069502,52.53100821,1,1,0.5,1,1,1,0,1,1,213
Wall_120497,"Wall CT, S-Bhf. Karlshorst, Stolzenfelsstr.",Berlin,"S-Bhf. Karlshorst, Stolzenfelsstr.   (0-24 Uhr)",10318,Deutschland,13.52601743,52.48132515,1,1,0.5,1,1,1,1,1,0,49
Wall_12051,Toilette Bernauer Str. (DLRG-Rettungsstelle/Badestelle/Fähre) (ex. Bernauer Str. an der Badestelle (Reiswerder)),Berlin,Zufahrt Insel Reiswerder  (0-24 Uhr),13629,Deutschland,13.25655556,52.56813889,1,0,0,0,0,0,0,5,0,
Wall_120510,"Wall CT, Boulevard Kastanienallee",Berlin,Boulevard Kastanienallee   (0-24 Uhr),12619,Deutschland,13.60335231,52.53191205,1,1,0.5,1,1,1,0,1,0,277
Wall_120511,"Wall CT, Attilaplatz, Attilastr.",Berlin,"Attilaplatz, Attilastr. ggü. 176 (0-24 Uhr)",12105,Deutschland,13.37599736,52.45591139,1,1,0.5,1,1,1,0,1,0,150
Wall_120512,"Wall CT, Hranitzkistr.",Berlin,Hranitzkistr.   (0-24 Uhr),12277,Deutschland,13.37109775,52.42251984,1,1,0.5,1,1,1,0,1,0,143
Wall_120737,"Wall CT, Leipziger Straße Spittelmarkt",Berlin,Leipziger Straße Spittelmarkt   (0-24 Uhr),10117,Deutschland,13.4007839,52.5116669,1,1,0.5,1,1,1,0,1,0,758
Wall_120738,"Wall CT, Hermannplatz",Berlin,Hermannplatz 9 (0-24 Uhr),10967,Deutschland,13.42529799,52.4876315,1,1,0.5,1,1,1,0,1,0,27
Wall_120739,"Wall CT, Antonplatz, Berliner Allee",Berlin,"Antonplatz, Berliner Allee 34 (0-24 Uhr)",13088,Deutschland,13.45123671,52.548166,1,1,0.5,1,1,1,0,1,0,52
Wall_120740,"Wall CT, S-Bhf. Frohnau, Welfenallee",Berlin,"S-Bhf. Frohnau, Welfenallee 1-5 (0-24 Uhr)",13465,Deutschland,13.28900793,52.6319858,1,1,0.5,1,1,1,0,1,0,48
Wall_120741,"Wall CT, Rudower Chaussee",Berlin,Rudower Chaussee 1-3 (0-24 Uhr),12489,Deutschland,13.53926,52.43443,1,1,0.5,1,1,1,0,1,0,160
Wall_120742,"Wall CT, Neuendorfer Str.",Berlin,Neuendorfer Str. 2 (0-24 Uhr),13585,Deutschland,13.20563531,52.54143399,1,1,0.5,1,1,1,0,1,0,64
Wall_120744,"Wall CT, Hohenzollernplatz, Hohenzollerndamm",Berlin,"Hohenzollernplatz, Hohenzollerndamm 199 (0-24 Uhr)",10717,Deutschland,13.32505638,52.49401382,1,1,0.5,1,1,1,0,1,0,60
Wall_120745,"Wall CT, S-Bhf. Biesdorf, Wuhlgartenweg",Berlin,"S-Bhf. Biesdorf, Wuhlgartenweg   (0-24 Uhr)",12683,Deutschland,13.55491781,52.51342021,1,1,0.5,1,1,1,0,1,0,161
